lr,epochs,batch_size,mean_accuracy,+-
0.01,10,8,75.44,8.96
0.01,10,16,68.30,10.33
0.01,10,32,69.41,10.37
0.01,10,64,69.65,9.51
0.01,20,8,78.26,8.12
0.01,20,16,73.38,11.38
0.01,20,32,75.50,9.11
0.01,20,64,73.25,9.54
0.01,30,8,78.55,8.93
0.01,30,16,75.46,10.74
0.01,30,32,75.47,8.87
0.01,30,64,72.67,9.53
0.01,40,8,78.84,9.11
0.01,40,16,78.36,9.72
0.01,40,32,79.47,8.15
0.01,40,64,75.81,8.39
0.01,50,8,79.86,8.22
0.01,50,16,77.86,9.68
0.01,50,32,80.41,8.43
0.01,50,64,75.62,8.50
0.01,100,8,80.34,9.20
0.01,100,16,79.33,8.33
0.01,100,32,81.18,8.47
0.01,100,64,81.05,8.30
0.01,150,8,80.66,8.48
0.01,150,16,77.98,9.55
0.01,150,32,81.64,8.14
0.01,150,64,80.56,8.34
0.001,10,8,69.41,10.44
0.001,10,16,61.10,8.38
0.001,10,32,58.35,6.52
0.001,10,64,50.49,5.22
0.001,20,8,74.45,8.40
0.001,20,16,68.98,9.18
0.001,20,32,68.70,7.98
0.001,20,64,59.99,7.57
0.001,30,8,76.53,9.23
0.001,30,16,72.60,10.45
0.001,30,32,70.21,8.98
0.001,30,64,63.49,8.16
0.001,40,8,75.96,9.91
0.001,40,16,73.38,10.47
0.001,40,32,75.14,8.47
0.001,40,64,68.64,8.11
0.001,50,8,77.56,7.72
0.001,50,16,76.41,8.14
0.001,50,32,76.58,8.44
0.001,50,64,71.55,8.23
0.001,100,8,78.74,8.34
0.001,100,16,78.26,8.34
0.001,100,32,78.16,8.22
0.001,100,64,76.19,8.31
0.001,150,8,79.15,8.20
0.001,150,16,77.84,8.78
0.001,150,32,79.64,8.00
0.001,150,64,77.95,8.37
0.005,10,8,73.44,9.17
0.005,10,16,66.45,10.41
0.005,10,32,68.72,10.11
0.005,10,64,62.68,9.52
0.005,20,8,76.57,9.15
0.005,20,16,75.14,8.83
0.005,20,32,71.96,8.66
0.005,20,64,72.45,7.40
0.005,30,8,78.79,8.03
0.005,30,16,75.79,10.64
0.005,30,32,75.29,8.73
0.005,30,64,71.35,9.57
0.005,40,8,78.60,8.24
0.005,40,16,76.62,9.50
0.005,40,32,79.18,8.14
0.005,40,64,73.89,8.49
0.005,50,8,78.83,8.64
0.005,50,16,77.26,9.23
0.005,50,32,79.52,8.55
0.005,50,64,75.28,7.32
0.005,100,8,79.96,7.75
0.005,100,16,79.05,9.22
0.005,100,32,80.65,8.05
0.005,100,64,79.64,7.37
0.005,150,8,80.47,8.95
0.005,150,16,79.69,8.65
0.005,150,32,81.35,8.24
0.005,150,64,80.58,8.00
0.0001,10,8,53.86,3.97
0.0001,10,16,51.05,4.73
0.0001,10,32,42.52,12.45
0.0001,10,64,22.35,14.80
0.0001,20,8,60.00,7.27
0.0001,20,16,54.44,5.00
0.0001,20,32,51.27,4.42
